nome_emissor_padronizado,nome_emissor_fitch,nome_emissor_moodys,nome_emissor_standard_and_poors,cnpj_emissor
CAIXA ECONOMICA FEDERAL,Caixa Economica Federal,Caixa Economica Federal (CAIXA),Caixa Economica Federal,00360305000104
CAJUINA AB1 HOLDINGS,,Cajuina AB1 Holdings S.A.,,
CALANGO 6 ENERGIA RENOVAVEL,,,Calango 6 Energia Renovavel S.A.,
CALDEIRAO GRANDE ENERGIAS RENOVAVEIS,,,Caldeirao Grande Energias Renovaveis S.A.,12960213000144
CAMIL ALIMENTOS,,Camil Alimentos S.A.,,64904295000103
CANTAREIRA TRANSMISSORA ENERGIA,Cantareira Transmissora de Energia S.A.,,,20732109000120
CAPITANIA,,Capitânia S.A.,,
CARTAO COMPRA SUPPLIER FIDC,Cartao de Compra Supplier FIDC,,,
CARTAO COMPRA SUPPLIER FUNDO INVESTIMENTO DIREITOS CREDITORIOS III,,Cartão de Compra Supplier Fundo de Investimento em Direitos Creditórios III - Responsabilidade Limitada,,60942242000126
CARUANA,,,"Caruana S.A. - Sociedade de Credito, Financiamento e Investimento",
CASA PEDRA SECURITIZADORA CREDITO,,Casa de Pedra Securitizadora de Crédito S.A. – Série Única da 19ª Emissão de CRIs (Risco Thopen Energy),,31468139000198
CASTROLANDA,,Castrolanda - Cooperativa Agroindustrial Ltda,,76108349000103
CCR,,CCR S.A.,,00092795000105
CDHU,,CDHU - Companhia de Desenvolvimento Habitacional e Urbano do Estado de São Paulo,,
CEA II,,CEA II - Centrais Eólicas Assuruá II SPE S.A.,,
CELEO REDES TRANSMISSAO ENERGIA,,,Celeo Redes Transmissao de Energia S.A.,31001230000107
CELESC DISTRIBUICAO,Celesc Distribuicao S.A,,,08336783000190
CELESC GERACAO,Celesc Geracao S.A.,,,08336804000178
CELSE / CENTRAIS ELETRICAS SERGIPE,,,CELSE / Centrais Elétricas de Sergipe S.A.,
CEMIG DISTRIBUICAO,Cemig Distribuicao S.A.,CEMIG Distribuição S.A.,Cemig Distribuicao S.A.,06981180000116
CEMIG GERACAO TRANSMISSAO,Cemig Geracao e Transmissao S.A.,CEMIG Geração e Transmissão S.A.,Cemig Geracao e Transmissao S.A.,06981176000158
CENTRAIS ELETRICAS SANTA CATARINA,Centrais Eletricas de Santa Catarina S.A.,,,83878892000155
CENTRAL FOTOVOLTAICA SAO PEDRO II,Central Fotovoltaica Sao Pedro II S.A.,,,24068977000109
CENTRAL FOTOVOLTAICA SAO PEDRO IV,Central Fotovoltaica Sao Pedro IV S.A.,,,24069089000100
CEREAL COMERCIO EXPORTACAO REPRESENTACAO AGROPECUARIA,,,Cereal Comercio Exportacao e Representacao Agropecuaria S.A.,00012377000160
CERRADINHO BIOENERGIA,,,Cerradinho Bioenergia S.A.,08322396000103
CESP,CESP - Companhia Energetica de Sao Paulo,,CESP-Companhia Energetica de Sao Paulo,60933603000178
CHAPADA PIAUI I HOLDING,,,Chapada do Piaui I Holding S.A.,20512213000100
CHEMICAL XII,,Chemical XII - FIDC Indústria Petroquímica,,46711630000175
CHEMICAL XIV FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,Chemical XIV Fundo de Investimento em Direitos Creditórios,,
CHINA THREE GORGES ENERGIA,,China Three Gorges Brasil Energia S.A. - CTG,,19014221000147
CHUBB SEGUROS,,Chubb Seguros Brasil S.A.,,03502099000118
CIA. LATINO AMERICANA MEDICAMENTOS,,Cia. Latino Americana de Medicamentos,,
CIELO,Cielo S.A. - Instituicao de Pagamento,Cielo S.A.,,01027058000191
CIMED CO.,Cimed & Co. S.A.,,,
